Catégorie,Nom de la Technique
Positions Fondamentales (Contrôles),Garde Fermée (Closed Guard)
Positions Fondamentales (Contrôles),Garde Ouverte (Open Guard)
Positions Fondamentales (Contrôles),Garde Araignée (Spider Guard)
Positions Fondamentales (Contrôles),Garde De La Riva
Positions Fondamentales (Contrôles),Garde De La Riva Inversée
Positions Fondamentales (Contrôles),Garde Lasso
Positions Fondamentales (Contrôles),Garde Papillon (Butterfly Guard)
Positions Fondamentales (Contrôles),Garde X (X-Guard)
Positions Fondamentales (Contrôles),Garde Calamar (Squid Guard)
Positions Fondamentales (Contrôles),Garde au Lapel (Lapel Guard)
Positions Fondamentales (Contrôles),Demi-Garde (Half Guard)
Positions Fondamentales (Contrôles),Deep Half Guard
Positions Fondamentales (Contrôles),Z-Guard
Positions Fondamentales (Contrôles),Contrôle Latéral (Side Control / 100 Kilos)
Positions Fondamentales (Contrôles),Kesa Gatame (Écharpe)
Positions Fondamentales (Contrôles),Kuzure Kesa Gatame
Positions Fondamentales (Contrôles),Position Montée (Mount)
Positions Fondamentales (Contrôles),Prise de Dos (Back Mount / Back Control)
Positions Fondamentales (Contrôles),Genou sur Ventre (Knee on Belly)
Positions Fondamentales (Contrôles),Position Nord-Sud (North-South)
Positions Fondamentales (Contrôles),Position Tortue (Turtle Position)
Amenées au Sol (Takedowns),O Soto Gari (Grand fauchage extérieur)
Amenées au Sol (Takedowns),Tai Otoshi (Renversement du corps)
Amenées au Sol (Takedowns),Seoi Nage (Projection d'épaule)
Amenées au Sol (Takedowns),Tomoe Nage (Projection en cercle)
Amenées au Sol (Takedowns),Sumi Gaeshi (Renversement dans l'angle)
Amenées au Sol (Takedowns),Ouchi Gari (Grand fauchage intérieur)
Amenées au Sol (Takedowns),Tani Otoshi (Chute dans la vallée)
Amenées au Sol (Takedowns),Double Leg Takedown
Amenées au Sol (Takedowns),Single Leg Takedown
Amenées au Sol (Takedowns),Ankle Pick (Saisie de cheville)
Amenées au Sol (Takedowns),Knee Tap (Frappe au genou)
Amenées au Sol (Takedowns),High Crotch
Amenées au Sol (Takedowns),Fireman's Carry (Porter de pompier)
Amenées au Sol (Takedowns),Tirer en Garde (Guard Pulling)
Soumissions (Submissions) - Clés Articulaires,Clé de Bras (Armbar / Juji Gatame)
Soumissions (Submissions) - Clés Articulaires,Americana (Ude Garami / Keylock)
Soumissions (Submissions) - Clés Articulaires,Kimura (Gyaku Ude Garami / Reverse Keylock)
Soumissions (Submissions) - Clés Articulaires,Omoplata
Soumissions (Submissions) - Clés Articulaires,Compression du Biceps (Bicep Slicer)
Soumissions (Submissions) - Clés Articulaires,Mir Lock
Soumissions (Submissions) - Clés Articulaires,Clé de Poignet (Wrist Lock)
Soumissions (Submissions) - Clés Articulaires,Clé de Genou (Kneebar)
Soumissions (Submissions) - Clés Articulaires,Clé de Cheville (Straight Ankle Lock / Achilles Lock)
Soumissions (Submissions) - Clés Articulaires,Clé de Talon (Heel Hook)
Soumissions (Submissions) - Clés Articulaires,Clé de Pointe de Pied (Toe Hold)
Soumissions (Submissions) - Clés Articulaires,Compression du Mollet (Calf Slicer / Calf Crush)
Soumissions (Submissions) - Clés Articulaires,Electric Chair (Crotch Ripper)
Soumissions (Submissions) - Clés Articulaires,Can Opener (Fisherman's Crank)
Soumissions (Submissions) - Clés Articulaires,Twister (Wrestler's Guillotine)
Soumissions (Submissions) - Étranglements,Étranglement Arrière (Rear Naked Choke / Mata Leão / Hadaka Jime)
Soumissions (Submissions) - Étranglements,Guillotine
Soumissions (Submissions) - Étranglements,Étranglement Nord-Sud (North-South Choke)
Soumissions (Submissions) - Étranglements,Anaconda Choke
Soumissions (Submissions) - Étranglements,D'Arce Choke (Brabo Choke)
Soumissions (Submissions) - Étranglements,Arm Triangle (Kata Gatame)
Soumissions (Submissions) - Étranglements,Triangle (Triangle Choke / Sankaku Jime)
Soumissions (Submissions) - Étranglements,Gogoplata
Soumissions (Submissions) - Étranglements,Ezequiel Choke (Sode Guruma Jime)
Soumissions (Submissions) - Étranglements,Cross Choke (Collar Choke / X-Choke / Juji Jime)
Soumissions (Submissions) - Étranglements,Sliding Collar Choke (Kata Te Jime)
Soumissions (Submissions) - Étranglements,Baseball Bat Choke
Soumissions (Submissions) - Étranglements,Loop Choke
Soumissions (Submissions) - Étranglements,Bow and Arrow Choke (Étranglement Arc et Flèche)
Soumissions (Submissions) - Étranglements,Lapel Chokes (divers)
Renversements (Sweeps),Hip Bump Sweep (Renversement par coup de hanche)
Renversements (Sweeps),Scissor Sweep (Renversement en ciseaux)
Renversements (Sweeps),Flower Sweep (ou Pendulum Sweep)
Renversements (Sweeps),Elevator Sweep
Renversements (Sweeps),Butterfly Sweep (Hook Sweep)
Renversements (Sweeps),Balloon Sweep
Renversements (Sweeps),De La Riva Sweep
Renversements (Sweeps),X-Guard Sweep
Renversements (Sweeps),Old School Sweep (depuis la demi-garde)
Renversements (Sweeps),John Wayne Sweep (depuis la demi-garde)
Renversements (Sweeps),Lumberjack Sweep
Renversements (Sweeps),Waiter Sweep (Muscle Sweep)
Renversements (Sweeps),100% Sweep
Renversements (Sweeps),Omoplata Sweep
Passages de Garde (Guard Passes),Double Underhook Pass
Passages de Garde (Guard Passes),Over-Under Pass
Passages de Garde (Guard Passes),Stack Pass
Passages de Garde (Guard Passes),Toreando Pass
Passages de Garde (Guard Passes),Knee Cut Pass (Knee Slide Pass)
Passages de Garde (Guard Passes),Leg Drag Pass
Passages de Garde (Guard Passes),X-Pass
Mouvements Fondamentaux et Esquives,Crevette (Shrimping / Hip Escape)
Mouvements Fondamentaux et Esquives,Pont (Bridging)
Mouvements Fondamentaux et Esquives,Sortie de montée (Mount Escape) - Trap and Roll (Upa)
Mouvements Fondamentaux et Esquives,Sortie de montée (Mount Escape) - Elbow-Knee Escape
Mouvements Fondamentaux et Esquives,Sortie de contrôle latéral (Side Control Escape)
Mouvements Fondamentaux et Esquives,Sortie de prise de dos (Back Mount Escape)
Mouvements Fondamentaux et Esquives,Sortie de genou sur ventre (Knee on Belly Escape)
Mouvements Fondamentaux et Esquives,Recomposition de Garde (Guard Recovery / Reguarding)
Défenses de Soumission,Posture et protection des membres
